"","date","cases","NA"
"1",2020-03-08,3,0
"2",2020-03-09,1,0
"3",2020-03-10,1,0
"4",2020-03-11,1,0
"5",2020-03-12,1,0
"6",2020-03-13,1,1
"7",2020-03-14,1,1
"8",2020-03-15,2,1
"9",2020-03-16,2,1
"10",2020-03-17,2,1
"11",2020-03-18,2,1
"12",2020-03-19,3,2
"13",2020-03-20,3,2
"14",2020-03-21,4,2
"15",2020-03-22,4,2
"16",2020-03-23,4,3
"17",2020-03-24,5,3
"18",2020-03-25,6,4
"19",2020-03-26,7,4
"20",2020-03-27,8,5
"21",2020-03-28,8,6
"22",2020-03-29,11,7
"23",2020-03-30,13,8
"24",2020-03-31,16,9
"25",2020-04-01,20,11
"26",2020-04-02,25,14
"27",2020-04-03,32,17
"28",2020-04-04,39,21
"29",2020-04-05,48,25
"30",2020-04-06,62,31
"31",2020-04-07,76,39
"32",2020-04-08,96,49
"33",2020-04-09,115,61
"34",2020-04-10,146,78
"35",2020-04-11,168,92
"36",2020-04-12,199,113
"37",2020-04-13,232,135
"38",2020-04-14,266,161
"39",2020-04-15,295,189
"40",2020-04-16,341,221
"41",2020-04-17,369,254
"42",2020-04-18,397,281
"43",2020-04-19,428,302
"44",2020-04-20,452,332
"45",2020-04-21,488,367
"46",2020-04-22,503,400
"47",2020-04-23,523,427
"48",2020-04-24,557,446
"49",2020-04-25,571,467
"50",2020-04-26,592,486
"51",2020-04-27,621,505
"52",2020-04-28,652,533
"53",2020-04-29,690,565
"54",2020-04-30,739,608
"55",2020-05-01,765,641
"56",2020-05-02,829,670
"57",2020-05-03,858,705
"58",2020-05-04,894,732
"59",2020-05-05,932,763
"60",2020-05-06,933,807
"61",2020-05-07,936,854
"62",2020-05-08,1000,875
"63",2020-05-09,1050,909
"64",2020-05-10,1115,955
"65",2020-05-11,1101,1002
"66",2020-05-12,1194,1043
"67",2020-05-13,1261,1086
"68",2020-05-14,1369,1146
"69",2020-05-15,1419,1191
"70",2020-05-16,1468,1257
"71",2020-05-17,1554,1328
"72",2020-05-18,1674,1382
"73",2020-05-19,1719,1433
"74",2020-05-20,1803,1490
"75",2020-05-21,1834,1561
"76",2020-05-22,1925,1655
"77",2020-05-23,2041,1707
"78",2020-05-24,2177,1819
"79",2020-05-25,2295,1737
"80",2020-05-26,2405,1872
"81",2020-05-27,2520,2001
"82",2020-05-28,2640,2127
"83",2020-05-29,2766,2251
"84",2020-05-30,2898,2375
"85",2020-05-31,3036,2502
"86",2020-06-01,3181,2631
"87",2020-06-02,3333,2764
"88",2020-06-03,3492,2902
"89",2020-06-04,3658,3044
"90",2020-06-05,3833,3193
"91",2020-06-06,4015,3348
"92",2020-06-07,4207,3509
"93",2020-06-08,4408,3678
"94",2020-06-09,4618,3855
"95",2020-06-10,4838,4039
"96",2020-06-11,5068,4232
"97",2020-06-12,5310,4435
"98",2020-06-13,5563,4646
"99",2020-06-14,5828,4868
"100",2020-06-15,6106,5100
"101",2020-06-16,6397,5344
"102",2020-06-17,6701,5598
"103",2020-06-18,7020,5865
"104",2020-06-19,7355,6145
"105",2020-06-20,7705,6437
"106",2020-06-21,8071,6744
"107",2020-06-22,8456,7065
"108",2020-06-23,8858,7401
"109",2020-06-24,9279,7754
"110",2020-06-25,9720,8123
"111",2020-06-26,10183,8509
"112",2020-06-27,10667,8914
"113",2020-06-28,11174,9338
"114",2020-06-29,11705,9782
"115",2020-06-30,12260,10247
"116",2020-07-01,12843,10734
"117",2020-07-02,13452,11244
"118",2020-07-03,14091,11778
"119",2020-07-04,14759,12338
"120",2020-07-05,15459,12924
"121",2020-07-06,16192,13537
"122",2020-07-07,16959,14179
"123",2020-07-08,17763,14852
"124",2020-07-09,18604,15556
"125",2020-07-10,19484,16293
"126",2020-07-11,20406,17065
"127",2020-07-12,21371,17874
"128",2020-07-13,22381,18720
"129",2020-07-14,23439,19606
"130",2020-07-15,24545,20533
"131",2020-07-16,25703,21503
"132",2020-07-17,26915,22519
"133",2020-07-18,28184,23583
"134",2020-07-19,29511,24696
"135",2020-07-20,30900,25861
"136",2020-07-21,32354,27080
"137",2020-07-22,33874,28356
"138",2020-07-23,35465,29691
"139",2020-07-24,37129,31088
"140",2020-07-25,38869,32549
"141",2020-07-26,40690,34078
"142",2020-07-27,42594,35678
"143",2020-07-28,44585,37351
"144",2020-07-29,46666,39101
"145",2020-07-30,48843,40931
"146",2020-07-31,51119,42845
"147",2020-08-01,53498,44847
"148",2020-08-02,55984,46939
"149",2020-08-03,58582,49127
"150",2020-08-04,61298,51415
"151",2020-08-05,64134,53806
"152",2020-08-06,67098,56304
"153",2020-08-07,70194,58916
"154",2020-08-08,73427,61644
"155",2020-08-09,76803,64495
"156",2020-08-10,80328,67472
"157",2020-08-11,84008,70583
"158",2020-08-12,87849,73830
"159",2020-08-13,91856,77222
"160",2020-08-14,96037,80762
"161",2020-08-15,100399,84457
"162",2020-08-16,104947,88314
"163",2020-08-17,109690,92338
"164",2020-08-18,114633,96536
"165",2020-08-19,119785,100914
"166",2020-08-20,125153,105479
"167",2020-08-21,130744,110238
"168",2020-08-22,136566,115199
