"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,3
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,5
"23",2020-03-30,6
"24",2020-03-31,7
"25",2020-04-01,9
"26",2020-04-02,11
"27",2020-04-03,13
"28",2020-04-04,17
"29",2020-04-05,20
"30",2020-04-06,26
"31",2020-04-07,34
"32",2020-04-08,44
"33",2020-04-09,57
"34",2020-04-10,71
"35",2020-04-11,88
"36",2020-04-12,109
"37",2020-04-13,136
"38",2020-04-14,162
"39",2020-04-15,190
"40",2020-04-16,215
"41",2020-04-17,241
"42",2020-04-18,279
"43",2020-04-19,314
"44",2020-04-20,335
"45",2020-04-21,370
"46",2020-04-22,419
"47",2020-04-23,421
"48",2020-04-24,460
"49",2020-04-25,483
"50",2020-04-26,517
"51",2020-04-27,539
"52",2020-04-28,559
"53",2020-04-29,607
"54",2020-04-30,636
"55",2020-05-01,662
"56",2020-05-02,675
"57",2020-05-03,725
"58",2020-05-04,754
"59",2020-05-05,805
"60",2020-05-06,861
"61",2020-05-07,870
"62",2020-05-08,921
"63",2020-05-09,927
"64",2020-05-10,987
"65",2020-05-11,1035
"66",2020-05-12,1091
"67",2020-05-13,1138
"68",2020-05-14,1196
"69",2020-05-15,1212
"70",2020-05-16,1310
"71",2020-05-17,1378
"72",2020-05-18,1470
"73",2020-05-19,1534
"74",2020-05-20,1606
"75",2020-05-21,1669
"76",2020-05-22,1758
"77",2020-05-23,1815
"78",2020-05-24,2035
"79",2020-05-25,1637
"80",2020-05-26,1658
"81",2020-05-27,1680
"82",2020-05-28,1702
"83",2020-05-29,1724
"84",2020-05-30,1747
"85",2020-05-31,1769
"86",2020-06-01,1793
"87",2020-06-02,1816
"88",2020-06-03,1840
"89",2020-06-04,1864
"90",2020-06-05,1888
"91",2020-06-06,1913
"92",2020-06-07,1938
"93",2020-06-08,1963
"94",2020-06-09,1988
"95",2020-06-10,2014
"96",2020-06-11,2041
"97",2020-06-12,2067
"98",2020-06-13,2094
"99",2020-06-14,2121
"100",2020-06-15,2149
"101",2020-06-16,2177
"102",2020-06-17,2205
"103",2020-06-18,2234
"104",2020-06-19,2263
"105",2020-06-20,2293
"106",2020-06-21,2323
"107",2020-06-22,2353
"108",2020-06-23,2383
"109",2020-06-24,2414
"110",2020-06-25,2446
"111",2020-06-26,2478
"112",2020-06-27,2510
"113",2020-06-28,2543
"114",2020-06-29,2576
"115",2020-06-30,2609
"116",2020-07-01,2643
"117",2020-07-02,2677
"118",2020-07-03,2712
"119",2020-07-04,2747
"120",2020-07-05,2783
"121",2020-07-06,2819
"122",2020-07-07,2856
"123",2020-07-08,2893
"124",2020-07-09,2931
"125",2020-07-10,2969
"126",2020-07-11,3007
"127",2020-07-12,3046
"128",2020-07-13,3086
"129",2020-07-14,3126
"130",2020-07-15,3166
"131",2020-07-16,3207
"132",2020-07-17,3249
"133",2020-07-18,3291
"134",2020-07-19,3334
"135",2020-07-20,3377
"136",2020-07-21,3421
"137",2020-07-22,3465
"138",2020-07-23,3510
"139",2020-07-24,3555
"140",2020-07-25,3601
"141",2020-07-26,3648
"142",2020-07-27,3695
"143",2020-07-28,3743
"144",2020-07-29,3791
"145",2020-07-30,3840
"146",2020-07-31,3890
"147",2020-08-01,3940
"148",2020-08-02,3991
"149",2020-08-03,4043
"150",2020-08-04,4095
"151",2020-08-05,4148
"152",2020-08-06,4201
"153",2020-08-07,4256
"154",2020-08-08,4311
"155",2020-08-09,4366
"156",2020-08-10,4422
"157",2020-08-11,4479
"158",2020-08-12,4537
"159",2020-08-13,4596
"160",2020-08-14,4655
"161",2020-08-15,4715
"162",2020-08-16,4776
"163",2020-08-17,4837
"164",2020-08-18,4899
"165",2020-08-19,4962
"166",2020-08-20,5026
"167",2020-08-21,5091
"168",2020-08-22,5156
